deviation_id,opened_date,closed_date,due_date,status,severity,site,department,process,product,batch_id,equipment_id,supplier_id,sop_id,owner,short_description,root_cause_category,capa_id,recurrence_flag
DEV-078,2025-12-19,,2026-01-20,in_progress,major,Basel Site,Production,Sterile Filling,Product A,BATCH-2026-013,EQ-007,,SOP-048,QA Owner 02,Synthetic sterile filling deviation: aseptic intervention or environmental monitoring concern.,aseptic intervention,,False
DEV-079,2026-01-10,2026-02-15,2026-02-08,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-062,EQ-017,,SOP-092,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,CAPA-048,True
DEV-080,2026-02-10,2026-02-24,2026-03-02,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-176,EQ-018,,SOP-024,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-019,True
DEV-081,2025-10-14,,2025-11-15,in_progress,minor,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-173,EQ-003,,SOP-094,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,sample handling,,True
DEV-082,2026-02-24,2026-03-20,2026-03-22,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-115,EQ-010,,SOP-060,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-083,2025-11-30,2026-01-07,2026-01-13,closed,minor,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-017,EQ-018,,SOP-080,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,CAPA-018,True
DEV-084,2025-10-17,2025-11-02,2025-11-16,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-089,EQ-006,,SOP-026,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
DEV-085,2025-10-10,2025-10-30,2025-11-20,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-147,EQ-020,,SOP-054,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-086,2025-11-01,2025-12-08,2025-12-15,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-080,EQ-002,,SOP-059,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-087,2026-02-23,,2026-03-17,open,minor,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-012,EQ-002,,SOP-007,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-088,2025-10-19,,2025-11-29,open,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-092,EQ-005,,SOP-061,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-012,True
DEV-089,2025-11-14,2025-12-27,2025-12-25,closed,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-113,EQ-009,,SOP-071,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-090,2025-11-17,,2025-12-13,in_progress,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-039,EQ-010,,SOP-098,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-091,2026-04-05,,2026-05-02,in_progress,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-101,EQ-007,,SOP-048,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-092,2025-12-23,2025-12-29,2026-01-29,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-003,EQ-011,,SOP-018,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-093,2026-03-28,,2026-04-27,in_progress,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-123,EQ-017,,SOP-001,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-094,2025-12-21,2026-01-25,2026-01-22,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-101,EQ-017,,SOP-065,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,,True
DEV-095,2026-02-23,2026-03-22,2026-03-19,closed,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-170,EQ-020,,SOP-034,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,CAPA-076,True
DEV-096,2026-02-24,2026-03-02,2026-03-18,closed,major,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-079,EQ-017,,SOP-061,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,CAPA-024,True
DEV-097,2025-12-29,2026-02-07,2026-02-09,closed,critical,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-043,EQ-007,,SOP-091,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-098,2026-02-06,2026-03-08,2026-02-27,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-050,EQ-017,,SOP-007,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,CAPA-063,True
DEV-099,2026-01-20,2026-02-04,2026-02-21,closed,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-041,EQ-018,,SOP-021,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-100,2026-02-13,2026-02-28,2026-03-11,closed,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-147,EQ-016,,SOP-084,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,CAPA-002,True
DEV-101,2026-02-18,2026-03-14,2026-04-01,closed,minor,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-037,EQ-008,,SOP-017,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,,True
DEV-102,2025-12-24,2026-01-27,2026-02-07,closed,critical,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-066,EQ-008,,SOP-076,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,instrument issue,CAPA-002,True
DEV-103,2025-10-01,,2025-10-27,in_progress,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-130,EQ-004,,SOP-097,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,CAPA-031,True
DEV-104,2025-10-08,2025-11-11,2025-11-17,closed,critical,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-043,EQ-001,,SOP-091,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,CAPA-054,True
DEV-105,2026-02-14,2026-03-04,2026-03-31,closed,major,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-054,EQ-017,,SOP-085,QC Owner 02,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,CAPA-032,True
DEV-106,2026-01-11,2026-02-08,2026-02-06,closed,critical,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-097,EQ-013,,SOP-067,QA Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-107,2026-02-16,2026-03-14,2026-03-27,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-171,EQ-015,,SOP-049,QA Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,analytical method,CAPA-025,True
DEV-108,2026-02-26,2026-03-05,2026-04-06,closed,major,Basel Site,QC Lab,QC Release Testing,Product C,BATCH-2026-073,EQ-002,,SOP-100,QC Owner 01,Synthetic QC Lab OOT-related deviation for release testing trend review.,analytical method,,True
DEV-109,2026-02-04,2026-03-12,2026-03-03,closed,minor,Berlin Site,QC Lab,QC Release Testing,Product A,BATCH-2026-100,EQ-014,,SOP-096,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,sample handling,CAPA-012,True
DEV-110,2025-11-29,2026-01-03,2026-01-01,closed,major,Basel Site,QC Lab,QC Release Testing,Product A,BATCH-2026-137,EQ-004,,SOP-063,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
DEV-111,2025-10-06,,2025-11-08,in_progress,major,Berlin Site,QC Lab,QC Release Testing,Product C,BATCH-2026-057,EQ-001,,SOP-049,QC Owner 01,Synthetic QC Lab OOS-related deviation for release testing trend review.,instrument issue,,True
DEV-112,2025-11-07,2025-12-04,2025-11-29,closed,major,Basel Site,QC Lab,QC Release Testing,Product B,BATCH-2026-074,EQ-020,,SOP-084,QC Owner 02,Synthetic QC Lab OOT-related deviation for release testing trend review.,sample handling,,True
