capa_id,opened_date,closed_date,due_date,status,site,department,process,owner,linked_deviation_ids,root_cause_category,action_type,action_description,effectiveness_check_due_date,effectiveness_status
CAPA-029,2025-10-18,2026-01-08,2025-12-23,closed,Basel Site,Production,Cleaning,QC Owner 02,DEV-169|DEV-239,procedure gap,Preventive action,Synthetic preventive action for cleaning control improvement.,2026-01-26,vague - monitor for recurrence
CAPA-030,2025-09-02,2025-11-11,2025-10-17,closed,Basel Site,QA Operations,Supplier Qualification,Packaging Owner 01,DEV-123|DEV-002|DEV-028,human factors,Preventive action,Synthetic preventive action for supplier qualification control improvement.,2025-12-25,vague - monitor for recurrence
CAPA-031,2025-11-05,2026-01-06,2026-01-11,closed,Berlin Site,Production,Sterile Filling,QA Owner 02,DEV-092|DEV-173|DEV-178,equipment condition,Process correction,Synthetic process correction for sterile filling control improvement.,2026-03-25,vague - monitor for recurrence
CAPA-032,2025-10-22,,2025-12-30,in_progress,Berlin Site,Production,Weighing,QA Owner 02,DEV-018|DEV-193|DEV-033,training gap,Process correction,Synthetic process correction for weighing control improvement.,2026-02-12,vague - monitor for recurrence
CAPA-033,2026-04-04,2026-07-17,2026-07-26,closed,Berlin Site,Production,Granulation,QA Owner 02,DEV-043|DEV-085|DEV-140,human factors,Procedure update,Synthetic procedure update for granulation control improvement.,2026-10-17,vague - monitor for recurrence
CAPA-034,2025-10-06,2026-01-15,2025-12-16,closed,Berlin Site,Production,Weighing,QC Owner 01,DEV-145,supplier process,Procedure update,Synthetic procedure update for weighing control improvement.,2026-02-27,vague - monitor for recurrence
CAPA-035,2025-12-05,,2026-02-03,open,Berlin Site,Packaging,Packaging,Production Owner 01,DEV-060,procedure gap,Supplier follow-up,Synthetic supplier follow-up for packaging control improvement.,2026-03-23,vague - monitor for recurrence
CAPA-036,2025-08-17,,2025-10-21,in_progress,Berlin Site,Engineering,Equipment Maintenance,QA Owner 01,DEV-068|DEV-079,training gap,Preventive action,Synthetic preventive action for equipment maintenance control improvement.,2026-01-11,vague - monitor for recurrence
CAPA-037,2026-01-07,,2026-03-14,in_progress,Berlin Site,Packaging,Packaging,Supplier Quality Owner 01,DEV-213|DEV-202|DEV-142,equipment condition,Supplier follow-up,Synthetic supplier follow-up for packaging control improvement.,2026-05-23,vague - monitor for recurrence
CAPA-038,2026-01-04,,2026-03-05,in_progress,Basel Site,Production,Cleaning,QC Owner 02,DEV-199,human factors,Preventive action,Synthetic preventive action for cleaning control improvement.,2026-05-03,vague - monitor for recurrence
CAPA-039,2025-12-29,2026-03-29,2026-03-25,closed,Basel Site,Production,Cleaning,Packaging Owner 01,DEV-209|DEV-032,procedure gap,Procedure update,Synthetic procedure update for cleaning control improvement.,2026-05-18,not due
CAPA-040,2026-02-15,2026-03-25,2026-04-10,closed,Basel Site,Packaging,Packaging,Supplier Quality Owner 01,DEV-175|DEV-092|DEV-200,supplier process,Preventive action,Synthetic preventive action for packaging control improvement.,2026-06-26,pending QA review
CAPA-041,2025-09-25,2025-11-17,2025-12-27,closed,Berlin Site,Engineering,Equipment Maintenance,Production Owner 01,DEV-205|DEV-188|DEV-212,supplier process,Procedure update,Synthetic procedure update for equipment maintenance control improvement.,2026-03-18,effective
CAPA-042,2026-04-07,,2026-06-09,in_progress,Basel Site,QA Operations,Supplier Qualification,Production Owner 01,DEV-062|DEV-183|DEV-147,equipment condition,Procedure update,Synthetic procedure update for supplier qualification control improvement.,2026-07-16,not due
CAPA-043,2026-01-10,,2026-03-19,in_progress,Berlin Site,Engineering,Equipment Maintenance,QA Owner 01,DEV-158|DEV-068|DEV-077,equipment condition,Procedure update,Synthetic procedure update for equipment maintenance control improvement.,2026-04-19,planned
CAPA-044,2025-12-09,,2026-03-11,in_progress,Berlin Site,Production,Weighing,QA Owner 01,DEV-061|DEV-164,supplier process,Preventive action,Synthetic preventive action for weighing control improvement.,2026-04-16,effective
CAPA-045,2026-03-19,2026-04-18,2026-05-15,closed,Berlin Site,Production,Weighing,Packaging Owner 01,DEV-161|DEV-127|DEV-122,procedure gap,Preventive action,Synthetic preventive action for weighing control improvement.,2026-08-02,pending QA review
CAPA-046,2026-02-10,,2026-06-05,open,Berlin Site,Production,Granulation,Packaging Owner 01,DEV-185,supplier process,Supplier follow-up,Synthetic supplier follow-up for granulation control improvement.,2026-07-21,effective
CAPA-047,2025-11-02,,2026-02-13,in_progress,Basel Site,QA Operations,Supplier Qualification,Production Owner 01,DEV-240,procedure gap,Procedure update,Synthetic procedure update for supplier qualification control improvement.,2026-05-02,pending QA review
CAPA-048,2025-09-18,,2025-12-12,in_progress,Berlin Site,Packaging,Packaging,QA Owner 02,DEV-245|DEV-051|DEV-219,training gap,Supplier follow-up,Synthetic supplier follow-up for packaging control improvement.,2026-01-26,not due
CAPA-049,2025-10-06,2025-12-09,2026-01-03,closed,Basel Site,Production,Sterile Filling,QC Owner 02,DEV-123|DEV-161|DEV-035,equipment condition,Preventive action,Synthetic preventive action for sterile filling control improvement.,2026-03-24,pending QA review
CAPA-050,2025-10-23,,2026-01-31,in_progress,Basel Site,Packaging,Packaging,QA Owner 02,DEV-241|DEV-200|DEV-175,procedure gap,Procedure update,Synthetic procedure update for packaging control improvement.,2026-04-30,pending QA review
CAPA-051,2026-04-11,,2026-07-23,in_progress,Basel Site,QC Lab,QC Release Testing,QA Owner 01,DEV-081,supplier process,Process correction,Synthetic process correction for qc release testing control improvement.,2026-08-26,not due
CAPA-052,2026-03-18,2026-06-30,2026-05-17,closed,Berlin Site,Production,Weighing,Warehouse Owner 01,DEV-161,equipment condition,Supplier follow-up,Synthetic supplier follow-up for weighing control improvement.,2026-07-15,planned
CAPA-053,2026-03-27,,2026-07-17,open,Berlin Site,Production,Granulation,QA Owner 02,DEV-127,supplier process,Preventive action,Synthetic preventive action for granulation control improvement.,2026-09-04,pending QA review
CAPA-054,2025-11-26,2026-01-23,2026-02-23,closed,Berlin Site,Engineering,Equipment Maintenance,QC Owner 01,DEV-091,equipment condition,Preventive action,Synthetic preventive action for equipment maintenance control improvement.,2026-05-11,effective
CAPA-055,2026-04-12,,2026-08-05,open,Basel Site,Production,Sterile Filling,QC Owner 02,DEV-130,procedure gap,Preventive action,Synthetic preventive action for sterile filling control improvement.,2026-10-10,pending QA review
CAPA-056,2025-08-20,2025-10-27,2025-11-29,closed,Berlin Site,Production,Cleaning,Production Owner 01,DEV-173|DEV-057,training gap,Procedure update,Synthetic procedure update for cleaning control improvement.,2026-02-07,pending QA review
CAPA-057,2025-10-19,2025-11-24,2026-02-14,closed,Berlin Site,Packaging,Packaging,QA Owner 01,DEV-199|DEV-082|DEV-218,equipment condition,Supplier follow-up,Synthetic supplier follow-up for packaging control improvement.,2026-05-07,effective
CAPA-058,2026-02-26,2026-06-01,2026-05-01,closed,Basel Site,QC Lab,QC Release Testing,QA Owner 01,DEV-212|DEV-025|DEV-034,supplier process,Preventive action,Synthetic preventive action for qc release testing control improvement.,2026-07-11,not due
CAPA-059,2025-11-21,,2026-01-18,open,Basel Site,Engineering,Equipment Maintenance,QA Owner 01,DEV-216|DEV-178|DEV-224,equipment condition,Supplier follow-up,Synthetic supplier follow-up for equipment maintenance control improvement.,2026-03-28,effective
CAPA-060,2025-12-21,,2026-04-18,in_progress,Basel Site,QA Operations,Supplier Qualification,Production Owner 01,DEV-094,human factors,Preventive action,Synthetic preventive action for supplier qualification control improvement.,2026-05-27,not due
CAPA-061,2026-03-08,,2026-04-25,open,Basel Site,QC Lab,QC Release Testing,Packaging Owner 01,DEV-132|DEV-189|DEV-036,human factors,Process correction,Synthetic process correction for qc release testing control improvement.,2026-06-09,planned
CAPA-062,2025-10-03,2025-11-16,2026-01-18,closed,Basel Site,Production,Weighing,Engineering Owner 01,DEV-192|DEV-211,equipment condition,Supplier follow-up,Synthetic supplier follow-up for weighing control improvement.,2026-03-29,effective
CAPA-063,2026-02-24,,2026-06-19,in_progress,Basel Site,Engineering,Equipment Maintenance,QA Owner 01,DEV-071|DEV-075|DEV-234,procedure gap,Supplier follow-up,Synthetic supplier follow-up for equipment maintenance control improvement.,2026-09-09,not due
CAPA-064,2026-02-25,,2026-06-07,open,Berlin Site,Production,Weighing,Warehouse Owner 01,DEV-014,human factors,Procedure update,Synthetic procedure update for weighing control improvement.,2026-07-08,pending QA review
CAPA-065,2025-09-19,,2025-12-31,open,Basel Site,QC Lab,QC Release Testing,Production Owner 02,DEV-120|DEV-224|DEV-012,human factors,Procedure update,Synthetic procedure update for qc release testing control improvement.,2026-02-03,not due
CAPA-066,2025-12-20,2026-04-06,2026-02-23,closed,Basel Site,Packaging,Packaging,Validation Owner 01,DEV-222,training gap,Supplier follow-up,Synthetic supplier follow-up for packaging control improvement.,2026-05-15,effective
CAPA-067,2025-11-05,,2026-02-27,in_progress,Berlin Site,Production,Sterile Filling,Supplier Quality Owner 01,DEV-013|DEV-190|DEV-029,procedure gap,Procedure update,Synthetic procedure update for sterile filling control improvement.,2026-04-13,not due
CAPA-068,2026-01-19,,2026-03-26,in_progress,Berlin Site,Packaging,Packaging,Supplier Quality Owner 01,DEV-214|DEV-215,supplier process,Preventive action,Synthetic preventive action for packaging control improvement.,2026-04-30,planned
CAPA-069,2025-12-19,,2026-04-13,in_progress,Basel Site,QA Operations,Supplier Qualification,Production Owner 01,DEV-018|DEV-210,equipment condition,Procedure update,Synthetic procedure update for supplier qualification control improvement.,2026-06-23,effective
CAPA-070,2025-10-07,,2025-12-31,in_progress,Basel Site,Production,Cleaning,QC Owner 01,DEV-207|DEV-016,training gap,Preventive action,Synthetic preventive action for cleaning control improvement.,2026-02-06,planned
CAPA-071,2026-01-14,2026-03-15,2026-04-30,closed,Berlin Site,QA Operations,Supplier Qualification,Packaging Owner 01,DEV-076|DEV-041,supplier process,Preventive action,Synthetic preventive action for supplier qualification control improvement.,2026-06-30,effective
CAPA-072,2026-02-17,2026-06-05,2026-04-20,closed,Basel Site,QA Operations,Supplier Qualification,Packaging Owner 01,DEV-225,equipment condition,Procedure update,Synthetic procedure update for supplier qualification control improvement.,2026-07-10,pending QA review
CAPA-073,2025-11-23,,2026-03-01,in_progress,Basel Site,Production,Weighing,Warehouse Owner 01,DEV-242|DEV-095|DEV-214,equipment condition,Supplier follow-up,Synthetic supplier follow-up for weighing control improvement.,2026-05-12,planned
CAPA-074,2026-01-05,,2026-03-01,open,Berlin Site,Production,Cleaning,Supplier Quality Owner 01,DEV-195|DEV-164,procedure gap,Preventive action,Synthetic preventive action for cleaning control improvement.,2026-04-18,not due
CAPA-075,2025-12-28,,2026-03-24,in_progress,Basel Site,Packaging,Packaging,Engineering Owner 01,DEV-077,training gap,Process correction,Synthetic process correction for packaging control improvement.,2026-05-04,effective
CAPA-076,2026-02-28,,2026-06-03,open,Berlin Site,Production,Granulation,QA Owner 01,DEV-082|DEV-104|DEV-191,equipment condition,Process correction,Synthetic process correction for granulation control improvement.,2026-08-07,pending QA review
CAPA-077,2025-12-24,,2026-03-26,open,Berlin Site,Production,Weighing,Production Owner 01,DEV-091|DEV-212,training gap,Supplier follow-up,Synthetic supplier follow-up for weighing control improvement.,2026-05-21,effective
CAPA-078,2025-12-30,,2026-04-28,in_progress,Berlin Site,Production,Granulation,QA Owner 01,DEV-136,training gap,Process correction,Synthetic process correction for granulation control improvement.,2026-06-02,not due
CAPA-079,2025-09-17,,2025-12-29,in_progress,Basel Site,Production,Weighing,Production Owner 02,DEV-080|DEV-208|DEV-124,procedure gap,Supplier follow-up,Synthetic supplier follow-up for weighing control improvement.,2026-02-02,not due
CAPA-080,2026-02-28,,2026-04-27,in_progress,Basel Site,Production,Weighing,Supplier Quality Owner 01,DEV-106|DEV-111|DEV-021,equipment condition,Supplier follow-up,Synthetic supplier follow-up for weighing control improvement.,2026-06-25,not due
