sop_id,title,department,process,version,effective_date,revision_date,status
SOP-022,Synthetic Cleaning SOP 022,Production,Cleaning,1.2,2024-04-12,2025-04-12,effective
SOP-023,Synthetic Packaging SOP 023,Packaging,Packaging,1.3,2026-04-12,2026-04-18,effective
SOP-024,Synthetic Supplier Qualification SOP 024,QA Operations,Supplier Qualification,1.4,2025-12-21,2026-12-21,effective
SOP-025,Synthetic Weighing SOP 025,Production,Weighing,2.5,2024-01-29,2025-01-28,effective
SOP-026,Synthetic Granulation SOP 026,Production,Granulation,2.6,2024-04-17,2025-04-17,effective
SOP-027,Synthetic Sterile Filling SOP 027,Production,Sterile Filling,2.7,2025-06-27,2026-06-27,effective
SOP-028,Synthetic Packaging SOP 028,Packaging,Packaging,2.8,2025-03-23,2026-03-23,effective
SOP-029,Synthetic QC Release Testing SOP 029,QC Lab,QC Release Testing,2.9,2025-12-20,2026-12-20,effective
SOP-030,Synthetic Cleaning SOP 030,Production,Cleaning,2.0,2024-12-25,2025-12-25,effective
SOP-031,Synthetic Equipment Maintenance SOP 031,Engineering,Equipment Maintenance,2.1,2023-12-08,2024-12-07,effective
SOP-032,Synthetic Supplier Qualification SOP 032,QA Operations,Supplier Qualification,2.2,2025-07-14,2026-07-14,effective
SOP-033,Synthetic Weighing SOP 033,Production,Weighing,2.3,2024-08-24,2025-08-24,effective
SOP-034,Synthetic Granulation SOP 034,Production,Granulation,2.4,2024-08-28,2025-08-28,under_revision
SOP-035,Synthetic Sterile Filling SOP 035,Production,Sterile Filling,2.5,2024-12-27,2025-12-27,effective
SOP-036,Synthetic Packaging SOP 036,Packaging,Packaging,2.6,2024-02-17,2025-02-16,effective
SOP-037,Synthetic QC Release Testing SOP 037,QC Lab,QC Release Testing,2.7,2025-12-31,2026-12-31,effective
SOP-038,Synthetic Cleaning SOP 038,Production,Cleaning,2.8,2025-08-07,2026-08-07,effective
SOP-039,Synthetic Equipment Maintenance SOP 039,Engineering,Equipment Maintenance,2.9,2024-12-12,2025-12-12,effective
SOP-040,Synthetic Supplier Qualification SOP 040,QA Operations,Supplier Qualification,2.0,2026-02-02,2027-02-02,effective
SOP-041,Synthetic Weighing SOP 041,Production,Weighing,2.1,2025-02-22,2026-02-22,effective
SOP-042,Synthetic Granulation SOP 042,Production,Granulation,2.2,2025-09-11,2026-09-11,effective
SOP-043,Synthetic Sterile Filling SOP 043,Production,Sterile Filling,2.3,2025-02-03,2026-02-03,effective
SOP-044,Synthetic Packaging SOP 044,Packaging,Packaging,2.4,2023-12-12,2024-12-11,effective
SOP-045,Synthetic QC Release Testing SOP 045,QC Lab,QC Release Testing,2.5,2024-02-03,2025-02-02,effective
SOP-046,Synthetic Cleaning SOP 046,Production,Cleaning,2.6,2024-10-16,2025-10-16,effective
SOP-047,Synthetic Equipment Maintenance SOP 047,Engineering,Equipment Maintenance,2.7,2025-08-17,2026-08-17,effective
SOP-048,Synthetic Supplier Qualification SOP 048,QA Operations,Supplier Qualification,2.8,2024-04-01,2025-04-01,effective
SOP-049,Synthetic Weighing SOP 049,Production,Weighing,2.9,2025-06-19,2026-06-19,effective
SOP-050,Synthetic Granulation SOP 050,Production,Granulation,3.0,2025-07-26,2026-07-26,effective
SOP-051,Synthetic Sterile Filling SOP 051,Production,Sterile Filling,3.1,2026-01-22,2027-01-22,under_revision
SOP-052,Synthetic Packaging SOP 052,Packaging,Packaging,3.2,2025-06-10,2026-06-10,effective
SOP-053,Synthetic QC Release Testing SOP 053,QC Lab,QC Release Testing,3.3,2024-04-21,2025-04-21,effective
SOP-054,Synthetic Cleaning SOP 054,Production,Cleaning,3.4,2025-10-29,2026-10-29,effective
SOP-055,Synthetic Equipment Maintenance SOP 055,Engineering,Equipment Maintenance,3.5,2023-12-11,2024-12-10,effective
SOP-056,Synthetic Supplier Qualification SOP 056,QA Operations,Supplier Qualification,3.6,2025-07-17,2026-07-17,effective
SOP-057,Synthetic Weighing SOP 057,Production,Weighing,3.7,2025-12-01,2026-12-01,effective
SOP-058,Synthetic Granulation SOP 058,Production,Granulation,3.8,2024-02-16,2025-02-15,effective
SOP-059,Synthetic Sterile Filling SOP 059,Production,Sterile Filling,3.9,2025-09-20,2026-09-20,effective
SOP-060,Synthetic Packaging SOP 060,Packaging,Packaging,3.0,2026-01-12,2027-01-12,effective
SOP-061,Synthetic QC Release Testing SOP 061,QC Lab,QC Release Testing,3.1,2025-07-12,2026-07-12,effective
SOP-062,Synthetic Cleaning SOP 062,Production,Cleaning,3.2,2024-01-06,2025-01-05,effective
SOP-063,Synthetic Equipment Maintenance SOP 063,Engineering,Equipment Maintenance,3.3,2025-11-14,2026-11-14,effective
SOP-064,Synthetic Supplier Qualification SOP 064,QA Operations,Supplier Qualification,3.4,2025-04-01,2026-04-01,effective
SOP-065,Synthetic Weighing SOP 065,Production,Weighing,3.5,2024-06-27,2025-06-27,effective
SOP-066,Synthetic Granulation SOP 066,Production,Granulation,3.6,2024-02-29,2025-02-28,effective
SOP-067,Synthetic Sterile Filling SOP 067,Production,Sterile Filling,3.7,2024-05-06,2025-05-06,effective
SOP-068,Synthetic Packaging SOP 068,Packaging,Packaging,3.8,2024-02-27,2025-02-26,under_revision
SOP-069,Synthetic QC Release Testing SOP 069,QC Lab,QC Release Testing,3.9,2025-06-13,2026-06-13,effective
SOP-070,Synthetic Cleaning SOP 070,Production,Cleaning,3.0,2025-01-02,2026-01-02,effective
SOP-071,Synthetic Equipment Maintenance SOP 071,Engineering,Equipment Maintenance,3.1,2025-08-01,2026-08-01,effective
SOP-072,Synthetic Supplier Qualification SOP 072,QA Operations,Supplier Qualification,3.2,2024-10-19,2025-10-19,effective
SOP-073,Synthetic Weighing SOP 073,Production,Weighing,3.3,2025-07-08,2026-07-08,effective
SOP-074,Synthetic Granulation SOP 074,Production,Granulation,3.4,2025-02-15,2026-02-15,effective
SOP-075,Synthetic Sterile Filling SOP 075,Production,Sterile Filling,4.5,2025-03-22,2026-03-22,effective
SOP-076,Synthetic Packaging SOP 076,Packaging,Packaging,4.6,2025-01-16,2026-01-16,effective
SOP-077,Synthetic QC Release Testing SOP 077,QC Lab,QC Release Testing,4.7,2023-12-13,2024-12-12,effective
SOP-078,Synthetic Cleaning SOP 078,Production,Cleaning,4.8,2026-02-08,2027-02-08,effective
SOP-079,Synthetic Equipment Maintenance SOP 079,Engineering,Equipment Maintenance,4.9,2024-05-31,2025-05-31,effective
SOP-080,Synthetic Supplier Qualification SOP 080,QA Operations,Supplier Qualification,4.0,2025-06-29,2026-06-29,effective
SOP-081,Synthetic Weighing SOP 081,Production,Weighing,4.1,2025-09-12,2026-09-12,effective
SOP-082,Synthetic Granulation SOP 082,Production,Granulation,4.2,2024-05-17,2025-05-17,effective
SOP-083,Synthetic Sterile Filling SOP 083,Production,Sterile Filling,4.3,2025-03-11,2026-03-11,effective
SOP-084,Synthetic Packaging SOP 084,Packaging,Packaging,4.4,2024-11-27,2025-11-27,effective
SOP-085,Synthetic QC Release Testing SOP 085,QC Lab,QC Release Testing,4.5,2025-07-31,2026-07-31,under_revision
SOP-086,Synthetic Cleaning SOP 086,Production,Cleaning,4.6,2026-01-01,2027-01-01,effective
SOP-087,Synthetic Equipment Maintenance SOP 087,Engineering,Equipment Maintenance,4.7,2025-12-07,2026-12-07,effective
SOP-088,Synthetic Supplier Qualification SOP 088,QA Operations,Supplier Qualification,4.8,2024-05-13,2025-05-13,effective
SOP-089,Synthetic Weighing SOP 089,Production,Weighing,4.9,2024-04-15,2025-04-15,effective
SOP-090,Synthetic Granulation SOP 090,Production,Granulation,4.0,2024-10-07,2025-10-07,effective
SOP-091,Synthetic Sterile Filling SOP 091,Production,Sterile Filling,4.1,2024-12-13,2025-12-13,effective
SOP-092,Synthetic Packaging SOP 092,Packaging,Packaging,4.2,2024-04-29,2025-04-29,effective
SOP-093,Synthetic QC Release Testing SOP 093,QC Lab,QC Release Testing,4.3,2025-03-29,2026-03-29,effective
SOP-094,Synthetic Cleaning SOP 094,Production,Cleaning,4.4,2024-02-11,2025-02-10,effective
SOP-095,Synthetic Equipment Maintenance SOP 095,Engineering,Equipment Maintenance,4.5,2024-08-15,2025-08-15,effective
SOP-096,Synthetic Supplier Qualification SOP 096,QA Operations,Supplier Qualification,4.6,2024-03-30,2025-03-30,effective
SOP-097,Synthetic Weighing SOP 097,Production,Weighing,4.7,2025-05-23,2026-05-23,effective
SOP-098,Synthetic Granulation SOP 098,Production,Granulation,4.8,2024-10-28,2025-10-28,effective
SOP-099,Synthetic Sterile Filling SOP 099,Production,Sterile Filling,4.9,2025-10-11,2026-10-11,effective
SOP-100,Synthetic Packaging SOP 100,Packaging,Packaging,5.0,2024-03-23,2025-03-23,effective
